City,Country,Latitude,Longitude,Date,Temperature,Maximum Tempurature,Humidity,Cloudiness,Wind Speed
khash,IR,28.22,61.22,1585542838.0,56.372000000000014,56.372000000000014,40.0,99.0,15.12
new norfolk,AU,-42.78,147.06,1585542839.0,58.38799999999998,64.39999999999992,52.0,75.0,8.16
tarakan,ID,3.3,117.63,1585542839.0,84.16400000000004,84.16400000000004,72.0,91.0,4.32
bandarbeyla,SO,9.49,50.81,1585542839.0,81.68,81.68,66.0,48.0,3.968
luderitz,NA,-26.65,15.16,1585542840.0,63.06800000000004,63.06800000000004,70.0,0.0,8.048
longyearbyen,SJ,78.22,15.64,1585542840.0,1.3999999999999773,1.3999999999999773,70.0,55.0,2.4000000000000004
kurmanayevka,RU,52.51,52.07,1585542840.0,46.92199999999997,46.92199999999997,57.0,91.0,8.912
adrar,MR,20.5,-10.07,1585542841.0,64.50799999999998,64.50799999999998,24.0,34.0,5.5040000000000004
torbay,CA,47.67,-52.73,1585542841.0,29.22800000000001,30.991999999999962,92.0,90.0,19.680000000000003
kindu,CD,-2.95,25.95,1585542842.0,73.79599999999999,73.79599999999999,71.0,89.0,1.6320000000000001
brigantine,US,39.41,-74.36,1585542842.0,48.47000000000003,51.799999999999955,93.0,90.0,5.760000000000001
peleduy,RU,59.63,112.74,1585542842.0,28.057999999999936,28.057999999999936,91.0,100.0,9.408
quatre cocos,MU,-20.21,57.76,1585542843.0,82.70599999999996,82.99400000000009,83.0,40.0,6.56
mogadishu,SO,2.04,45.34,1585542644.0,84.19999999999999,84.19999999999999,70.0,40.0,7.359999999999999
hobart,AU,-42.88,147.33,1585542803.0,58.81999999999999,64.39999999999992,52.0,75.0,8.16
nizhniy baskunchak,RU,48.22,46.83,1585542844.0,53.34800000000001,53.34800000000001,53.0,0.0,11.76
hofn,IS,64.25,-15.21,1585542844.0,41.48600000000005,41.48600000000005,64.0,72.0,10.240000000000002
qazigund,IN,33.63,75.15,1585542844.0,57.21800000000002,57.21800000000002,22.0,100.0,1.616
cabinda,AO,-5.55,12.2,1585542845.0,80.40199999999999,80.40199999999999,88.0,97.0,5.072
taldan,RU,53.67,124.8,1585542845.0,34.394000000000005,34.394000000000005,68.0,90.0,7.231999999999999
awassa,ET,7.05,38.47,1585542845.0,71.92399999999992,71.92399999999992,35.0,1.0,0.944
tessalit,ML,20.2,1.01,1585542846.0,67.80200000000008,67.80200000000008,18.0,29.0,6.288
bonthe,SL,7.53,-12.51,1585542846.0,80.32999999999998,80.32999999999998,85.0,95.0,4.016
harper,LR,4.38,-7.72,1585542639.0,79.07,79.07,87.0,37.0,2.4640000000000004
salalah,OM,17.02,54.09,1585542847.0,80.59999999999997,80.59999999999997,83.0,75.0,11.520000000000001
clyde river,CA,70.47,-68.59,1585542847.0,-9.399999999999977,-9.399999999999977,83.0,75.0,8.16
yining,CN,29.04,114.56,1585542848.0,54.66199999999998,54.66199999999998,66.0,95.0,0.576
la baneza,ES,42.3,-5.9,1585542848.0,32.539999999999964,37.39999999999998,64.0,90.0,7.359999999999999
bathsheba,BB,13.22,-59.52,1585542848.0,76.99999999999994,76.99999999999994,73.0,40.0,11.520000000000001
ambanja,MG,-13.68,48.45,1585542849.0,76.99999999999994,76.99999999999994,68.0,20.0,1.6
grindavik,IS,63.84,-22.43,1585542849.0,40.136000000000024,40.99999999999994,93.0,90.0,12.32
